"","region","stock","brood.yr","spawners","recruits","entry.yr","long","lat","loc.sst","w.sst.2","w.sst.1"
"1","South","Willapa Bay",1968,13200,102452,1969,123.9575,46.3733,-0.873121229979253,-0.570872626466311,-1.41762423308663
"2","South","Willapa Bay",1969,33900,49558,1970,123.9575,46.3733,-1.84634629036876,-0.465667470690639,0.275878980154006
"3","South","Willapa Bay",1970,23100,32832,1971,123.9575,46.3733,-0.224565615668447,-1.55781997243268,-1.20721392153528
"4","South","Willapa Bay",1971,37600,28026,1972,123.9575,46.3733,-0.295769982934746,-1.47703313116945,-1.90842602333007
"5","South","Willapa Bay",1972,22400,70219,1973,123.9575,46.3733,-1.22670745818897,-1.22668803605503,-1.04564023900882
"6","South","Willapa Bay",1973,14500,10956,1974,123.9575,46.3733,-0.294695963265915,-0.863552020467866,-1.40773583310123
"7","South","Willapa Bay",1974,12200,82709,1975,123.9575,46.3733,-0.772409359897397,-0.781267576571354,-0.319368207834499
"8","South","Willapa Bay",1975,12600,5129,1976,123.9575,46.3733,-0.456179393384444,-0.191301572779486,-1.24316694530821
"9","South","Willapa Bay",1976,16500,37755,1977,123.9575,46.3733,-0.40616328489359,0.447422834697827,0.860563799749239
"10","South","Willapa Bay",1977,40200,60288,1978,123.9575,46.3733,0.136174413484631,-0.492331541922179,0.0342818696464151
"11","South","Willapa Bay",1978,18900,157305,1979,123.9575,46.3733,0.57173515063062,-0.306165644122756,-1.01894495349077
"12","South","Willapa Bay",1979,6915,40605,1980,123.9575,46.3733,-0.822753810538246,0.517287489432735,0.406613665245262
"13","South","Willapa Bay",1980,37300,49594,1981,123.9575,46.3733,-0.794187862972449,0.141964092259517,0.627961313620208
"14","South","Willapa Bay",1981,22120,56762,1982,123.9575,46.3733,-0.445776590261636,0.00939944705124193,-0.344033129101174
"15","South","Willapa Bay",1982,66889,112546,1983,123.9575,46.3733,0.810157802784611,0.380270216513322,0.362832023203658
"16","South","Willapa Bay",1983,20871,41943,1984,123.9575,46.3733,-0.827511314026463,-0.0519421355212462,0.397708409822986
"17","South","Willapa Bay",1984,42635,250649,1985,123.9575,46.3733,-0.748935305913848,-0.686290839657231,-0.501592680865478
"18","South","Willapa Bay",1985,52703,16457,1986,123.9575,46.3733,-0.86356686469297,-0.102022614561747,-0.870988998448985
"19","South","Willapa Bay",1986,34040,34130,1987,123.9575,46.3733,-1.0312233522305,0.541094104470067,0.66694376932549
"20","South","Willapa Bay",1987,31884,45389,1988,123.9575,46.3733,-1.21198167898198,-0.160175594053772,0.415244439614644
"21","South","Willapa Bay",1988,61947,136550,1989,123.9575,46.3733,0.765522545060509,-0.442391793120812,-0.735595627722186
"22","South","Willapa Bay",1989,17056,21186,1990,123.9575,46.3733,1.59356336608398,-0.365103838481364,-0.149187958519437
"23","South","Willapa Bay",1990,17762,26881,1991,123.9575,46.3733,-0.536383646014258,0.0153479876850232,-0.581019718443289
"24","South","Willapa Bay",1991,33959,22961,1992,123.9575,46.3733,0.172406907751226,0.376990865122175,0.611715693813336
"25","South","Willapa Bay",1992,37068,27331,1993,123.9575,46.3733,0.443805749299347,0.391715600704434,0.142266036431014
"26","South","Willapa Bay",1993,31017,26297,1994,123.9575,46.3733,1.37973259090584,0.367436047630868,0.641165164977854
"27","South","Willapa Bay",1994,30526,78988,1995,123.9575,46.3733,1.78993140409381,0.387764800122231,0.0937069302838829
"28","South","Willapa Bay",1995,24695,17741,1996,123.9575,46.3733,-0.430676890586847,0.277367464780964,0.681822669960581
"29","South","Willapa Bay",1996,20011,49863,1997,123.9575,46.3733,1.77839143055174,0.935002856809047,-0.127087740398653
"30","South","Willapa Bay",1997,33314,50376,1998,123.9575,46.3733,0.281072574711558,1.16979539816684,1.99709345401675
"31","South","Willapa Bay",1998,65101,60487,1999,123.9575,46.3733,-0.607714240789799,0.128347696027086,0.342497342316937
"32","South","Willapa Bay",1999,24512,131968,2000,123.9575,46.3733,0.362187353409256,0.0471409363610744,-0.0858019502627636
"33","South","Willapa Bay",2000,40030,99668,2001,123.9575,46.3733,-0.391149924703228,-0.198950542892292,0.180083822984914
"34","South","Willapa Bay",2001,29389,32968,2002,123.9575,46.3733,-0.224217180464507,0.258907842872168,-0.577984908769496
"35","South","Willapa Bay",2002,59243,24678,2003,123.9575,46.3733,0.731048048629551,0.678894121127417,1.09580059451383
