"","stock.id","species","even.odd","stock","full.stock","GOA","region","sub.region","brood.yr","spawners","recruits","use","entry.yr","ln.rs","long","lat","loc.sst","w.sst.1","w.sst.2","our.region","npgo2","npgo","pdo2","pdo"
"1",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1959,14000,35300,1,1960,0.924825634323992,122.4272,47.26972,0.013764558353024,0.898903625844711,0.910774697183566,"South",0.93745374,0.61460857,0.342,0.356
"2",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1961,10000,115311,1,1962,2.44504773302611,122.4272,47.26972,-0.281648083455158,1.09707435759388,0.522109819958372,"South",-0.12433509,0.00705286,-1.076,-1.68
"3",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1963,10221,35628,1,1964,1.24868741822268,122.4272,47.26972,-0.6936656019629,1.12202829518128,0.866329647941501,"South",-0.007529911,0.583830606,-0.891,-0.846
"4",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1965,25131,40277,1,1966,0.471678442587453,122.4272,47.26972,-0.0715833174644099,-0.736035075763483,-0.234831069270775,"South",-0.809721169,-0.829702192,-0.572,-0.534
"5",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1967,22038,22868,1,1968,0.0369703173361396,122.4272,47.26972,-0.290157985540172,-0.279599625946803,-0.236215430086526,"South",-0.796891715,-0.568987534,-0.653,-0.422
"6",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1969,16003,63066,1,1970,1.37140559240542,122.4272,47.26972,-0.237137678775281,-1.39901587678386,-0.464663045326708,"South",0.0186527205,0.032071858,-0.319,0.78
"7",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1971,40000,31597,1,1972,-0.235817274736705,122.4272,47.26972,-0.823139301816115,-1.15547442522778,-1.59162935102058,"South",-0.3421108,-0.295710623,-1.036,-1.806
"8",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1973,12194,35512,1,1974,1.06892664004611,122.4272,47.26972,-1.11532093077459,-0.845574250311942,-1.17102599650106,"South",0.1908359155,-0.237943949,-0.809,-1.268
"9",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1975,11800,55191,1,1976,1.54270036504014,122.4272,47.26972,-1.0973325391799,-0.247372008291975,-0.729622270861904,"South",1.41536357,1.25881028,-0.169,-1.528
"10",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",1977,29429,102377,1,1978,1.24668149526692,122.4272,47.26972,0.533231632811943,1.20162241740512,0.677539431328524,"South",0.262731659,1.07569398,-0.039,0.344
