,stock.id,species,stock,region,sub.region,broodYr,spawn,rec
1,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1980,238038,545500
2,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1981,214728,318386
3,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1982,104503,280870
4,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1983,172143,319246
5,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1984,108151,503626
6,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1985,170739,939836
7,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1986,98921,870243
8,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1987,83395,1088611
9,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1988,140660,690272
10,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1989,204804,1069218
11,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1990,262946,1188080
12,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1991,173913,376415
13,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1992,195830,503964
14,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1993,197988,540820
15,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1994,204441,787727
16,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1995,107961,713745
17,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1996,119629,503017
18,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1997,145311,348670
19,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1998,193420,226082
20,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,1999,127890,114120
21,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2000,90947,740756
22,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2001,122505,401742
23,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2002,95520,1042167
24,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2003,139799,903429
25,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2004,80435,293118
26,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2005,221752,457637
27,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2006,182005,150731
28,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2007,224767,117462
29,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2008,195474,318351
30,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2009,133263,519639
31,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2010,142966,515426
32,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2011,132549,235880
33,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2012,116442,17271
34,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2013,196926,43355
35,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2014,206954,0
36,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2015,201664,0
37,NA,Sockeye,Bear,AK Peninsula,AK Peninsula,2016,139720,0
38,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1981,251000,188646
39,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1982,179600,337539
40,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1983,128800,273580
41,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1984,251000,704171
42,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1985,314000,547610
43,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1986,117500,554509
44,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1987,155700,530288
45,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1988,142900,671751
46,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1989,206800,632332
47,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1990,269200,719453
48,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1991,279200,667405
49,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1992,179700,420384
50,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1993,262200,255474
51,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1994,333400,486611
52,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1995,338700,320842
53,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1996,241600,510952
54,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1997,183000,654502
55,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1998,159810,535911
56,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,1999,202067,1103081
57,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2000,182694,569781
58,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2001,201962,539933
59,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2002,315689,488244
60,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2003,343511,279659
61,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2004,480097,429918
62,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2005,290000,164384
63,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2006,215000,204735
64,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2007,180000,148539
65,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2008,141600,390320
66,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2009,157000,494675
67,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2010,108000,615563
68,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2011,89000,468611
69,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2012,103300,163214
70,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2013,248000,10170
71,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2014,250000,0
72,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2015,257000,0
73,NA,Sockeye,Nelson,AK Peninsula,AK Peninsula,2016,3.00E+05,0
74,NA,Sockeye,Goodnews,AYK,AYK,1981,46441,71549
75,NA,Sockeye,Goodnews,AYK,AYK,1982,50232,44644
76,NA,Sockeye,Goodnews,AYK,AYK,1983,25008,34308
77,NA,Sockeye,Goodnews,AYK,AYK,1984,30363,32826
78,NA,Sockeye,Goodnews,AYK,AYK,1985,24131,32527
79,NA,Sockeye,Goodnews,AYK,AYK,1986,50181,68721
80,NA,Sockeye,Goodnews,AYK,AYK,1987,28335,36860
81,NA,Sockeye,Goodnews,AYK,AYK,1988,15172,55925
82,NA,Sockeye,Goodnews,AYK,AYK,1989,21186,98355
83,NA,Sockeye,Goodnews,AYK,AYK,1990,31232,53605
84,NA,Sockeye,Goodnews,AYK,AYK,1991,41656,82231
85,NA,Sockeye,Goodnews,AYK,AYK,1992,28074,42203
86,NA,Sockeye,Goodnews,AYK,AYK,1993,24957,57884
87,NA,Sockeye,Goodnews,AYK,AYK,1994,56503,60855
88,NA,Sockeye,Goodnews,AYK,AYK,1995,37776,66174
89,NA,Sockeye,Goodnews,AYK,AYK,1996,64185,33158
90,NA,Sockeye,Goodnews,AYK,AYK,1997,34322,14203
91,NA,Sockeye,Goodnews,AYK,AYK,1998,38493,59196
92,NA,Sockeye,Goodnews,AYK,AYK,1999,49321,50083
93,NA,Sockeye,Goodnews,AYK,AYK,2000,40828,136883
94,NA,Sockeye,Goodnews,AYK,AYK,2001,21194,127072
95,NA,Sockeye,Goodnews,AYK,AYK,2002,21329,100557
96,NA,Sockeye,Goodnews,AYK,AYK,2003,37933,64038
97,NA,Sockeye,Goodnews,AYK,AYK,2004,54035,36411
98,NA,Sockeye,Goodnews,AYK,AYK,2005,118969,62012
99,NA,Sockeye,Goodnews,AYK,AYK,2006,127245,40286
100,NA,Sockeye,Goodnews,AYK,AYK,2007,73768,57909
101,NA,Sockeye,Goodnews,AYK,AYK,2008,43879,27137
102,NA,Sockeye,Goodnews,AYK,AYK,2009,27494,43491
103,NA,Sockeye,Goodnews,AYK,AYK,2010,36574,66579
104,NA,Sockeye,Goodnews,AYK,AYK,2011,19643,7913
105,NA,Sockeye,Goodnews,AYK,AYK,2012,29531,0
106,NA,Sockeye,Goodnews,AYK,AYK,2013,23545,0
107,NA,Sockeye,Goodnews,AYK,AYK,2014,41473,0
108,NA,Sockeye,Goodnews,AYK,AYK,2015,57809,0
109,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1963,203304,414872
110,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1964,248700,381898
111,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1965,175020,259725
112,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1966,174336,565582
113,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1967,202626,389346
114,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1968,193872,249189
115,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1969,182490,180183
116,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1970,177060,145640
117,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1971,187302,324749
118,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1972,151188,124166
119,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1973,35280,512936
120,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1974,214848,2290906
121,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1975,100480,1022272
122,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1976,81822,344706
123,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1977,108910.5,1002656
124,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1978,584970,2175871
125,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1979,750210,2108732
126,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1980,759645,649492
127,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1981,209635.5,1186825
128,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1982,610215,804937
129,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1983,245361,470731
130,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1984,549193.5,2621994
131,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1985,300976.5,1732106
132,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1986,586959,2082710
133,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1987,393235.5,786803
134,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1988,496306.5,1304319
135,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1989,501738,2887136
136,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1990,430338,1358819
137,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1991,707851.95,3533971
138,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1992,577939.65,187395
139,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1993,887336.25,1537760
140,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1994,618464.25,1597678
141,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1995,550068.15,3998566
142,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1996,782212.5,1538527
143,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1997,556193.25,1464231
144,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1998,643110,2851376
145,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,1999,1182180,3790189
146,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,2000,1150815,9915977
147,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,2001,680850,1464953
148,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,2002,766962,3234173
149,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,2003,3676146,6387174
150,NA,Sockeye,Alagnak,Bristol Bay,Bristol Bay South,2004,5396592,2548093
