"","region","stock","brood.yr","spawners","recruits","entry.yr","long","lat","loc.sst","w.sst.3","w.sst.2","w.sst.1"
"1","EBS","Alagnak",1960,1240530,448154,1962,158.5,58.85,-0.656889062867371,-0.468646050931979,-0.435324072559988,-0.424554723574082
"2","EBS","Alagnak",1961,90036,294559,1963,158.5,58.85,-0.420563150125212,-0.409682902304516,-0.402246991669733,-0.446093421545893
"3","EBS","Alagnak",1962,90630,252129,1964,158.5,58.85,-0.529722846738773,-0.484849511053988,-0.504227555808035,-0.358400561793573
"4","EBS","Alagnak",1963,203304,414873,1965,158.5,58.85,-0.56337986754227,-0.354661804590403,-0.352792425988818,-0.650054549822497
"5","EBS","Alagnak",1964,248700,381900,1966,158.5,58.85,-0.39557961379883,-0.31705684107085,-0.150557986695027,-0.0555303021551381
"6","EBS","Alagnak",1965,175020,259729,1967,158.5,58.85,0.189239783814641,-0.212361540225059,-0.290777159260019,-0.245585671234917
"7","EBS","Alagnak",1966,174336,565584,1968,158.5,58.85,-0.320559026830638,-0.32276719990565,-0.361357964241017,-0.335968647285122
"8","EBS","Alagnak",1967,202626,389349,1969,158.5,58.85,0.0486593357438716,-0.210663611172796,-0.148011093116634,-0.386747281196911
"9","EBS","Alagnak",1968,193872,249192,1970,158.5,58.85,-0.293217231660494,-0.19516900595822,-0.0993798683388745,0.0907250949636443
"10","EBS","Alagnak",1969,182490,180185,1971,158.5,58.85,-1.1825742773806,-0.446346897881656,-0.714882894304307,-0.289484831641393
"11","EBS","Alagnak",1970,177060,145642,1972,158.5,58.85,-1.10883739415741,-0.664118557194397,-0.851435419970899,-1.14028095696722
"12","EBS","Alagnak",1971,187302,324752,1973,158.5,58.85,-0.585579839638957,-0.66240373043176,-0.42346511716403,-0.562589882974577
"13","EBS","Alagnak",1972,151188,124168,1974,158.5,58.85,-0.291041657296813,-0.39490554072105,-0.311063369594287,-0.284340351353483
"14","EBS","Alagnak",1973,35280,512940,1975,158.5,58.85,-0.763881168184161,-0.523247310045854,-0.642700789392039,-0.33778638783509
"15","EBS","Alagnak",1974,214848,2290909,1976,158.5,58.85,-0.406882349321913,-0.395647180759686,-0.424577577221983,-0.947615190948988
"16","EBS","Alagnak",1975,100480,1022274,1977,158.5,58.85,0.134500192810145,-0.172061250399484,0.215715719875267,0.0984600365050209
"17","EBS","Alagnak",1976,81822,344709,1978,158.5,58.85,0.348397376989342,0.38760506194671,0.532177574667555,0.332971403245514
"18","EBS","Alagnak",1977,108911,1002659,1979,158.5,58.85,0.446268575340911,0.446838348010477,0.503771820392958,0.731383746089596
"19","EBS","Alagnak",1978,584970,2175018,1980,158.5,58.85,-0.138824967693077,0.328625785865462,0.127246805753395,0.276159894696321
"20","EBS","Alagnak",1979,750210,2108944,1981,158.5,58.85,0.351567900693781,0.224713623555342,0.198990487984853,-0.0216662831895314
"21","EBS","Alagnak",1980,759645,649461,1982,158.5,58.85,-0.441338308374629,0.0939773689417237,0.151799195007351,0.419647259159237
"22","EBS","Alagnak",1981,209636,1189250,1983,158.5,58.85,0.648114913719673,0.280646309909717,0.211145835284956,-0.116048869144534
"23","EBS","Alagnak",1982,610215,783215,1984,158.5,58.85,0.473810106710568,0.490971072471589,0.794481043279651,0.538340539714447
"24","EBS","Alagnak",1983,245361,519999,1985,158.5,58.85,-0.00895118216375974,0.673940321910033,0.741740213007826,1.05062154684485
"25","EBS","Alagnak",1984,549194,2395855,1986,158.5,58.85,0.379087448833785,0.882571098862345,0.79854587487109,0.432858879170797
"26","EBS","Alagnak",1985,300977,1782638,1987,158.5,58.85,0.675960881793974,0.718304731291733,0.861027657352201,1.16423287057138
"27","EBS","Alagnak",1986,586959,2129631,1988,158.5,58.85,0.451372304031775,0.5815187092339,0.290161628565159,0.55782244413302
"28","EBS","Alagnak",1987,393236,843196,1989,158.5,58.85,0.165319450340675,0.199904195954008,0.0209450718645024,0.0225008129972978
"29","EBS","Alagnak",1988,496307,1376837,1990,158.5,58.85,-0.0248413129950885,0.0816465235646092,0.111219378848265,0.019389330731707
"30","EBS","Alagnak",1989,501738,2796371,1991,158.5,58.85,0.217635897963741,0.180511882428925,0.261073158277534,0.203049426964823
"31","EBS","Alagnak",1990,430338,1532335,1992,158.5,58.85,-0.0508498734790396,0.157261948194742,0.134368208809702,0.319096889590246
"32","EBS","Alagnak",1991,707852,3402940,1993,158.5,58.85,0.611389124617746,0.389702270866512,0.425004961504645,-0.0503604719708426
"33","EBS","Alagnak",1992,577940,226603,1994,158.5,58.85,0.177035978316189,0.264585837308495,0.422058991948163,0.900370394980133
"34","EBS","Alagnak",1993,887336,1523485,1995,158.5,58.85,0.473294338411728,0.515624080289477,0.323250922944148,-0.0562524110838067
"35","EBS","Alagnak",1994,618464,1585492,1996,158.5,58.85,0.133388794671833,0.308502126995415,0.490879396035025,0.702754256972103
"36","EBS","Alagnak",1995,550068,3989777,1997,158.5,58.85,0.503696713566127,0.416299897734287,0.273072718115379,0.279004535097948
"37","EBS","Alagnak",1996,782213,1549878,1998,158.5,58.85,0.283280301773275,0.269971702332847,0.265455285950297,0.267140901132811
"38","EBS","Alagnak",1997,556193,1467972,1999,158.5,58.85,-0.663712305894932,-0.102509411905216,-0.28733456842423,0.263769670767783
"39","EBS","Alagnak",1998,643110,2851140,2000,158.5,58.85,0.453206349196147,0.38633711967772,0.447620844132689,-0.838438807616242
"40","EBS","Alagnak",1999,1182180,3790191,2001,158.5,58.85,0.551190805652305,0.293894071594281,0.860060511199543,1.73368049588162
"41","EBS","Alagnak",2000,1150815,9915981,2002,158.5,58.85,1.20383471385804,1.03215624215067,0.681394115285195,-0.013559473482534
"42","EBS","Alagnak",2001,680850,1464957,2003,158.5,58.85,0.835725665826706,0.727629147427825,1.09822345788301,1.37634770405292
"43","EBS","Alagnak",2002,766962,3234177,2004,158.5,58.85,0.791352439674941,1.06983014435338,0.916571364503611,0.820099211713088
"44","EBS","Alagnak",2003,3676146,6387177,2005,158.5,58.85,0.614240150918287,0.544342530783003,0.40646419031796,1.01304351729413
"45","EBS","Alagnak",2004,5396592,2548096,2006,158.5,58.85,0.158917751897889,0.256640676551486,-0.121560743819838,-0.200115136658214
"46","EBS","Alagnak",2005,4218990,2899649,2007,158.5,58.85,-0.147151660437497,-0.24980893044426,-0.274655827337283,-0.0430063509814625
"47","EBS","Alagnak",2006,1773966,2520964,2008,158.5,58.85,-0.539098775051205,-0.488668788932882,-0.711500007908591,-0.506305303693103
"48","GOA","Ayakulik",1966,66057,137384,1968,154.54,57.2,-0.329337335303479,-0.747424334028175,-0.799326360814678,-0.192535552079502
"49","GOA","Ayakulik",1967,227089,148402,1969,154.54,57.2,-0.10546048655735,-0.357070352176688,-0.439337752225281,-1.40611716954985
"50","GOA","Ayakulik",1968,220850,262665,1970,154.54,57.2,-0.281247220639168,-0.448315323263965,0.03058559987898,0.527441665099292
"51","GOA","Ayakulik",1969,71160,105523,1971,154.54,57.2,-1.52911563755769,-0.599502408365907,-1.16297444509851,-0.466270465341332
"52","GOA","Ayakulik",1970,33863,39429,1972,154.54,57.2,-1.51987518293749,-1.13310599000022,-1.46652375232966,-1.85967842485568
"53","GOA","Ayakulik",1971,109174,288753,1973,154.54,57.2,-1.18391626116243,-1.34471641424599,-1.08723540894114,-1.07336907980364
"54","GOA","Ayakulik",1972,113733,564194,1974,154.54,57.2,-0.498456666782431,-0.917157249029014,-0.8390513336417,-1.10110173807864
"55","GOA","Ayakulik",1973,119993,330221,1975,154.54,57.2,-0.973921379366648,-0.938186794075585,-0.856729322074058,-0.577000929204763
"56","GOA","Ayakulik",1974,181631,449570,1976,154.54,57.2,-0.369857462011602,-0.433647212439069,-0.361970354056221,-1.13645771494335
"57","GOA","Ayakulik",1975,94517,463563,1977,154.54,57.2,0.180605852203609,-0.44337790296379,-0.0968379969740086,0.412517006830911
"58","GOA","Ayakulik",1976,219047,836328,1978,154.54,57.2,-0.0327387059272418,-0.0171515869223053,-0.231985883798913,-0.606193000778928
"59","GOA","Ayakulik",1977,306982,287349,1979,154.54,57.2,0.28534392408043,-0.0797089220570273,0.183533117303923,0.142221233181101
"60","GOA","Ayakulik",1978,132864,122273,1980,154.54,57.2,-0.109351214834822,0.220744470202366,0.260006088712998,0.224845001426745
"61","GOA","Ayakulik",1979,222270,254511,1981,154.54,57.2,0.489313890046611,0.219583418518153,0.216952627063857,0.295167175999252
"62","GOA","Ayakulik",1980,774328,1152537,1982,154.54,57.2,-0.308116000984992,0.266900660061142,0.252767402092087,0.138738078128462
"63","GOA","Ayakulik",1981,279200,1091984,1983,154.54,57.2,0.803527283744781,0.495129516047394,0.67332523500686,0.366796726055712
"64","GOA","Ayakulik",1982,169678,240476,1984,154.54,57.2,0.981425798083212,0.741439866398969,0.928761436570597,0.979853743958008
"65","GOA","Ayakulik",1983,171415,382085,1985,154.54,57.2,-0.00426028462385318,0.582599540399278,0.383972438619913,0.877669129183186
"66","GOA","Ayakulik",1984,283215,604316,1986,154.54,57.2,0.495801772921669,0.739212623451763,0.669984370586051,-0.109724251943359
"67","GOA","Ayakulik",1985,388759,1786779,1987,154.54,57.2,0.651353674214314,0.684570835833822,1.08171837972241,1.44969299311546
"68","GOA","Ayakulik",1986,318135,1730211,1988,154.54,57.2,0.373668694773962,0.580294084242206,0.145594629805578,0.713743766329364
"69","GOA","Ayakulik",1987,261913,1015566,1989,154.54,57.2,0.138083162557812,0.0296456177639923,-0.312403456518694,-0.422554506718208
"70","GOA","Ayakulik",1988,291774,325535,1990,154.54,57.2,-0.117504842552223,-0.384761564588429,-0.365865093523539,-0.20225240631918
