Run,Region,BY2,BY3
Alagnak,EBS,0.772,0.228
Egegik,EBS,0.24,0.76
Igushik,EBS,0.854,0.146
Kvichak,EBS,0.451,0.549
Naknek,EBS,0.538,0.462
Nushagak,EBS,0.964,0.036
Togiak,EBS,0.845,0.155
Ugashik,EBS,0.472,0.528
Wood,EBS,0.904,0.096
Ayakulik,GOA,0.298,0.702
Black,GOA,0.68,0.32
Chignik,GOA,0.392,0.608
Coghill Lake,GOA,0.509,0.491
Copper River,GOA,0.909,0.091
E.Upper Station,GOA,0.328,0.672
Eshamy Lake,GOA,0.509,0.491
Frazer,GOA,0.274,0.726
Kasilof,GOA,0.509,0.491
Kenai,GOA,0.732,0.268
L.Upper Station,GOA,0.46,0.54
Russian R.,GOA,0.509,0.491
Bowron,South,0.999,0.001
Chilko,South,0.961,0.039
E. Stuart,South,0.997,0.003
Francois/Fraser_Summer,South,1,0
Gates,South,0.99,0.01
L. Shuswap,South,0.972,0.028
L. Stuart,South,1,0
Quesnel,South,0.999,0.001
Weaver,South,0.996,0.004
