"","X","stock.id","species","stock","region","sub.region","brood.yr","spawners","recruits","entry.yr","ln.rs","long","lat","loc.sst","our.region"
"109",109,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1963,203304,414872,1965,0.713267643122932,158.5,58.85,-0.504813064341865,"EBS"
"110",110,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1964,248700,381898,1966,0.428906206435369,158.5,58.85,-0.0520134999205233,"EBS"
"111",111,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1965,175020,259725,1967,0.39472312584891,158.5,58.85,-0.337594524916948,"EBS"
"112",112,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1966,174336,565582,1968,1.17687081781798,158.5,58.85,-0.30844661477253,"EBS"
"113",113,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1967,202626,389346,1969,0.653106493168579,158.5,58.85,-0.265908205999404,"EBS"
"114",114,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1968,193872,249189,1970,0.251013497197871,158.5,58.85,-0.910505212563962,"EBS"
"115",115,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1969,182490,180183,1971,-0.0127223758993898,158.5,58.85,-1.2928824976535,"EBS"
"116",116,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1970,177060,145640,1972,-0.19535083487567,158.5,58.85,-0.94121201354128,"EBS"
"117",117,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1971,187302,324749,1973,0.550330288804579,158.5,58.85,-0.395652336578285,"EBS"
"118",118,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1972,151188,124166,1974,-0.196904715506919,158.5,58.85,-0.721659570410835,"EBS"
"119",119,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1973,35280,512936,1975,2.67683484991418,158.5,58.85,-0.506258513828452,"EBS"
"120",120,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1974,214848,2290906,1976,2.36677185013632,158.5,58.85,-0.00762491233021035,"EBS"
"121",121,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1975,100480,1022272,1977,2.3198241774476,158.5,58.85,0.309133841428234,"EBS"
"122",122,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1976,81822,344706,1978,1.43814572370796,158.5,58.85,0.818851394572952,"EBS"
"123",123,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1977,108910.5,1002656,1979,2.21988131402345,158.5,58.85,0.184573303662962,"EBS"
"124",124,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1978,584970,2175871,1980,1.31362375926468,158.5,58.85,0.499889438814952,"EBS"
"125",125,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1979,750210,2108732,1981,1.0334889306236,158.5,58.85,-0.119583575653835,"EBS"
"126",126,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1980,759645,649492,1982,-0.156660700021826,158.5,58.85,0.307336793028096,"EBS"
"127",127,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1981,209635.5,1186825,1983,1.7336666449093,158.5,58.85,0.544068011771642,"EBS"
"128",128,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1982,610215,804937,1984,0.276952659401794,158.5,58.85,0.158079234200536,"EBS"
"129",129,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1983,245361,470731,1985,0.651556210155224,158.5,58.85,0.505180096848095,"EBS"
"130",130,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1984,549193.5,2621994,1986,1.56323953756467,158.5,58.85,0.732521967347118,"EBS"
"131",131,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1985,300976.5,1732106,1987,1.75006109956216,158.5,58.85,0.830783634591822,"EBS"
"132",132,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1986,586959,2082710,1988,1.26647023858241,158.5,58.85,0.535216537362301,"EBS"
"133",133,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1987,393235.5,786803,1989,0.693569230380801,158.5,58.85,0.349475362243908,"EBS"
"134",134,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1988,496306.5,1304319,1990,0.966242665046116,158.5,58.85,0.262951352764612,"EBS"
"135",135,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1989,501738,2887136,1991,1.74994221518021,158.5,58.85,-0.0168251917024436,"EBS"
"136",136,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1990,430338,1358819,1992,1.14980027268831,158.5,58.85,0.626687049164289,"EBS"
"137",137,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1991,707851.95,3533971,1993,1.60794248518946,158.5,58.85,0.542674952098272,"EBS"
"138",138,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1992,577939.65,187395,1994,-1.12625076290448,158.5,58.85,0.299881368679974,"EBS"
"139",139,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1993,887336.25,1537760,1995,0.549858093791175,158.5,58.85,0.438886313980685,"EBS"
"140",140,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1994,618464.25,1597678,1996,0.94906721511442,158.5,58.85,0.571514637279453,"EBS"
"141",141,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1995,550068.15,3998566,1997,1.98364889618421,158.5,58.85,0.477244019299986,"EBS"
"142",142,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1996,782212.5,1538527,1998,0.67645430140801,158.5,58.85,-0.0763432333973569,"EBS"
"143",143,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1997,556193.25,1464231,1999,0.967969663155568,158.5,58.85,-0.0863025862094036,"EBS"
"144",144,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1998,643110,2851376,2000,1.48924118106528,158.5,58.85,0.612536549398174,"EBS"
"145",145,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",1999,1182180,3790189,2001,1.16505569427105,158.5,58.85,0.873968117754661,"EBS"
"146",146,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2000,1150815,9915977,2002,2.15367690766544,158.5,58.85,1.46857456551041,"EBS"
"147",147,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2001,680850,1464953,2003,0.766236421454685,158.5,58.85,0.929860763921735,"EBS"
"148",148,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2002,766962,3234173,2004,1.43909127636795,158.5,58.85,1.00720967838751,"EBS"
"149",149,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2003,3676146,6387174,2005,0.552426996256861,158.5,58.85,0.347683525488616,"EBS"
"150",150,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2004,5396592,2548093,2006,-0.750422406965762,158.5,58.85,-0.123823947772432,"EBS"
"151",151,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2005,4218990,2899644,2007,-0.375007792073198,158.5,58.85,-0.328934355113993,"EBS"
"152",152,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2006,1773966,2520961,2008,0.351422460058001,158.5,58.85,-0.305100043980866,"EBS"
"153",153,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2007,2466414,2347495,2009,-0.049416471690462,158.5,58.85,-0.313226414285349,"EBS"
"154",154,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2008,2180502,2060598,2010,-0.0565588935838147,158.5,58.85,-0.171239128174838,"EBS"
"155",155,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2009,970818,1396336,2011,0.363467926951065,158.5,58.85,-0.464258287720086,"EBS"
"156",156,NA,"Sockeye","Alagnak","Bristol Bay","Bristol Bay South",2010,1187730,9649045,2012,2.09481502434027,158.5,58.85,-0.15235038052228,"EBS"
"161",161,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1963,997602,993867,1965,-0.00375100428808765,157.38,58.25,-0.492949057513274,"EBS"
"162",162,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1964,849576,1937879,1966,0.824611953499914,157.38,58.25,-0.0361479774282064,"EBS"
"163",163,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1965,1444608,2388481,1967,0.502819594548475,157.38,58.25,-0.33102182367765,"EBS"
"164",164,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1966,804246,2058267,1968,0.939714453059229,157.38,58.25,-0.261561544222681,"EBS"
"165",165,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1967,636864,1631427,1969,0.94065423893911,157.38,58.25,-0.226824801904985,"EBS"
"166",166,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1968,338654,377054,1970,0.107409476068916,157.38,58.25,-0.92242779228581,"EBS"
"167",167,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1969,1015554,2755725,1971,0.998246289479648,157.38,58.25,-1.3374312136666,"EBS"
"168",168,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1970,919734,1202581,1972,0.268140861576675,157.38,58.25,-0.960516423418127,"EBS"
"169",169,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1971,634014,2700673,1973,1.4491852439794,157.38,58.25,-0.394152470920503,"EBS"
"170",170,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1972,546402,2909899,1974,1.67251868308744,157.38,58.25,-0.717498546708348,"EBS"
"171",171,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1973,328842,1451683,1975,1.48490145973973,157.38,58.25,-0.509223878136883,"EBS"
"172",172,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1974,1275630,2441304,1976,0.649092148558258,157.38,58.25,0.0195019996092162,"EBS"
"173",173,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1975,1173840,3040165,1977,0.95163136434394,157.38,58.25,0.313492233871178,"EBS"
"174",174,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1976,509160,4480473,1978,2.17472159119073,157.38,58.25,0.812887022840394,"EBS"
"175",175,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1977,692514,4167606,1979,1.79476859475087,157.38,58.25,0.152956037491284,"EBS"
"176",176,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1978,895698,9914900,1980,2.40419065258616,157.38,58.25,0.49668976699463,"EBS"
"177",177,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1979,1032042,4039953,1981,1.36469369433636,157.38,58.25,-0.138799063017711,"EBS"
"178",178,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1980,1060860,8224596,1982,2.04804927696813,157.38,58.25,0.289507699260061,"EBS"
"179",179,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1981,694680,5444107,1983,2.05883771036498,157.38,58.25,0.563309422479218,"EBS"
"180",180,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1982,1034628,6441609,1984,1.82873641181024,157.38,58.25,0.15866119856248,"EBS"
"181",181,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1983,792282,10829616,1985,2.61512249325676,157.38,58.25,0.518686903113793,"EBS"
